model,role,step,emotion,normalized_freq
gemma3,patient,6,disgust,0.1703149550548918
gemma3,patient,6,joy,0.16193454214340794
gemma3,patient,6,sadness,0.2039638254617629
gemma3,patient,6,fear,0.036531470831967124
gemma3,patient,6,anticipation,0.05160603192484407
gemma3,therapist,7,anger,0.16742768233163238
gemma3,therapist,7,trust,0.06258671724616402
gemma3,therapist,7,surprise,0.07928229083877275
gemma3,therapist,7,disgust,0.2294844760690444
gemma3,therapist,7,joy,0.0697444037511635
gemma3,therapist,7,sadness,0.22939857488709067
gemma3,therapist,7,fear,0.048510159567538055
gemma3,therapist,7,anticipation,0.11356569530859427
gemma3,patient,7,anger,0.128013217615836
gemma3,patient,7,trust,0.2856627062579483
gemma3,patient,7,surprise,0.0009327823785682723
gemma3,patient,7,disgust,0.1975561523172591
gemma3,patient,7,joy,0.07642450801579347
gemma3,patient,7,sadness,0.29967854745513856
gemma3,patient,7,fear,0.010982519204682128
gemma3,patient,7,anticipation,0.0007495667547743278
gemma3,therapist,8,anger,0.06088004209010299
gemma3,therapist,8,trust,0.3883805040961559
gemma3,therapist,8,surprise,0.03297303732001933
gemma3,therapist,8,disgust,0.20456501258045903
gemma3,therapist,8,joy,0.03928124622777657
gemma3,therapist,8,sadness,0.01279820747778319
gemma3,therapist,8,fear,0.17343080124168778
gemma3,therapist,8,anticipation,0.0876911489660151
gemma3,patient,8,anger,0.15925954091115774
gemma3,patient,8,trust,0.12219941423104089
gemma3,patient,8,surprise,0.1525200588600873
gemma3,patient,8,disgust,0.08310907483766011
gemma3,patient,8,joy,0.2072397937555258
gemma3,patient,8,sadness,0.12088670111892429
gemma3,patient,8,fear,0.10523306447268817
gemma3,patient,8,anticipation,0.0495523518129158
gemma3,therapist,9,anger,0.0
gemma3,therapist,9,trust,0.0
gemma3,therapist,9,surprise,0.0
gemma3,therapist,9,disgust,0.0
gemma3,therapist,9,joy,0.0
gemma3,therapist,9,sadness,0.0
gemma3,therapist,9,fear,0.0
gemma3,therapist,9,anticipation,0.0
gemma3,patient,9,anger,0.12239328882000684
gemma3,patient,9,trust,0.13992457633047428
gemma3,patient,9,surprise,0.011879428108961785
gemma3,patient,9,disgust,0.07370007612501625
gemma3,patient,9,joy,0.3518734366716264
gemma3,patient,9,sadness,0.10179448988940569
gemma3,patient,9,fear,0.11155365949027929
gemma3,patient,9,anticipation,0.08688104456422936
gemma3,therapist,0,anger,0.14667135213439597
gemma3,therapist,0,trust,0.09297854298074822
gemma3,therapist,0,surprise,0.08455487893210792
gemma3,therapist,0,disgust,0.10574854712919199
gemma3,therapist,0,joy,0.13557191686895764
gemma3,therapist,0,sadness,0.12473397020547998
gemma3,therapist,0,fear,0.09016462210773199
gemma3,therapist,0,anticipation,0.21957616964138624
gemma3,patient,0,anger,0.0
gemma3,patient,0,trust,1.0
gemma3,patient,0,surprise,0.0
gemma3,patient,0,disgust,0.0
gemma3,patient,0,joy,0.0
gemma3,patient,0,sadness,0.0
gemma3,patient,0,fear,0.0
gemma3,patient,0,anticipation,0.0
gemma3,therapist,1,anger,0.03953071480780204
gemma3,therapist,1,trust,0.22359322115993507
gemma3,therapist,1,surprise,0.014926309667644947
gemma3,therapist,1,disgust,0.12896276746674765
gemma3,therapist,1,joy,0.20066261032473942
gemma3,therapist,1,sadness,0.011673246727049657
gemma3,therapist,1,fear,0.09366782372315546
gemma3,therapist,1,anticipation,0.28698330612292594
gemma3,patient,1,anger,0.13909662377803503
gemma3,patient,1,trust,0.08817673815792189
gemma3,patient,1,surprise,0.08018810771335738
gemma3,patient,1,disgust,0.10028724533489554
gemma3,patient,1,joy,0.20288856646115014
gemma3,patient,1,sadness,0.11829218094419887
gemma3,patient,1,fear,0.15337174326155983
gemma3,patient,1,anticipation,0.1176987943488814
gemma3,therapist,2,anger,0.05981020493026295
gemma3,therapist,2,trust,0.2199741842970125
gemma3,therapist,2,surprise,0.02030820151112416
gemma3,therapist,2,disgust,0.01991128430893137
gemma3,therapist,2,joy,0.18947464480702406
gemma3,therapist,2,sadness,0.11047132600319345
gemma3,therapist,2,fear,0.016477973145481127
gemma3,therapist,2,anticipation,0.36357218099697036
gemma3,patient,2,anger,0.1440717698808452
gemma3,patient,2,trust,0.06635681441604514
gemma3,patient,2,surprise,0.13243258953312273
gemma3,patient,2,disgust,0.09679241879119331
gemma3,patient,2,joy,0.21874165736218884
gemma3,patient,2,sadness,0.07633988589690698
gemma3,patient,2,fear,0.19570293645792947
gemma3,patient,2,anticipation,0.06956192766176837
gemma3,therapist,3,anger,0.025240775796238346
gemma3,therapist,3,trust,0.0801331146594687
gemma3,therapist,3,surprise,0.017790318329842417
gemma3,therapist,3,disgust,0.08790912588906093
gemma3,therapist,3,joy,0.1605380111555401
gemma3,therapist,3,sadness,0.020840636679254655
gemma3,therapist,3,fear,0.18232731311093442
gemma3,therapist,3,anticipation,0.4252207043796603
gemma3,patient,3,anger,0.02417858703742487
gemma3,patient,3,trust,0.0328085028253714
gemma3,patient,3,surprise,0.07449920747088157
gemma3,patient,3,disgust,0.12302819653609455
gemma3,patient,3,joy,0.127990681047394
gemma3,patient,3,sadness,0.2527170841926224
gemma3,patient,3,fear,0.1552685590578029
gemma3,patient,3,anticipation,0.2095091818324084
gemma3,therapist,4,anger,0.033239859550992436
gemma3,therapist,4,trust,0.10472335646042544
gemma3,therapist,4,surprise,0.2035339029884385
gemma3,therapist,4,disgust,0.08679373966529379
gemma3,therapist,4,joy,0.11371631737597024
gemma3,therapist,4,sadness,0.10746488766681525
gemma3,therapist,4,fear,0.13473444520179412
gemma3,therapist,4,anticipation,0.21579349109027032
gemma3,patient,4,anger,0.014726495290912264
gemma3,patient,4,trust,0.06534873330869746
gemma3,patient,4,surprise,0.050310848384870925
gemma3,patient,4,disgust,0.13535800182788746
